"reassignments","bus_comp_hrs","priorities"
1,387.68,"Low"
1,0,"Low"
1,0,"Low"
1,21.62,"Low"
1,0,"Low"
0,0,"Low"
0,0,"Low"
2,747.55,"Low"
0,0,"Low"
1,14.98,"Low"
2,41.74,"Low"
1,7.65,"Medium"
0,8.96,"Low"
0,8.85,"Low"
1,0.33,"Low"
1,0.08,"Low"
2,2.45,"Low"
1,25.89,"Low"
1,1035.6,"Low"
1,9.9,"Medium"
3,56.22,"Low"
1,32.13,"Low"
1,4.98,"Low"
0,7.15,"Low"
1,14.23,"Low"
1,4.09,"Low"
1,6.35,"Medium"
2,15.62,"Low"
1,0.48,"Low"
1,17.3,"Low"
1,4.95,"Medium"
1,2.4,"Low"
1,14.17,"Low"
1,17.15,"Low"
1,0,"Low"
1,0.58,"Low"
1,0,"Low"
4,392.23,"Low"
5,1421.02,"Low"
1,23.3,"Low"
1,20,"Low"
1,11.43,"Low"
2,8.37,"Low"
1,0.55,"Medium"
1,26.9,"Low"
0,4.4,"Medium"
1,0,"Low"
1,0,"Low"
2,76.8,"Low"
1,10.2,"Low"
2,31.9,"Low"
1,22.35,"Low"
1,12.35,"Low"
1,4.32,"Medium"
1,5.63,"Low"
2,1512.56,"Low"
1,19.87,"Low"
5,561.53,"Low"
1,8.11,"Low"
1,1482.87,"Low"
1,1603.63,"Low"
1,11.28,"Medium"
0,11.06,"Low"
0,11.17,"Medium"
0,11.13,"Low"
0,6.92,"Medium"
0,11.15,"Low"
0,6.98,"Medium"
0,7.02,"Medium"
0,7.05,"Medium"
0,11.18,"Low"
0,5.98,"Medium"
0,7.1,"Medium"
0,11.23,"Low"
0,7.13,"Medium"
0,11.25,"Low"
0,11.3,"Low"
0,4.53,"Medium"
0,11.33,"Low"
1,13.23,"Medium"
0,7.13,"Low"
0,11.68,"Medium"
1,0.58,"Low"
4,728.73,"Low"
1,48.47,"Low"
1,14.72,"Low"
2,12.57,"Medium"
5,1189.77,"Low"
0,99.85,"Low"
1,0.68,"Medium"
2,2.83,"Low"
1,2.05,"Low"
1,2.82,"Medium"
0,1.78,"Low"
3,431.65,"Low"
2,41.37,"Low"
3,1358.04,"Low"
0,0.83,"Low"
1,2.03,"Medium"
3,6.71,"Low"
2,2.22,"Low"
1,60.58,"Low"
2,7.64,"Low"
2,238.38,"Low"
1,1485.71,"Low"
1,85.97,"Low"
0,50.71,"Low"
1,291.97,"Medium"
1,1.18,"Medium"
2,1358.4,"Low"
1,18.17,"Low"
2,36.67,"Low"
1,6.19,"Medium"
1,1.98,"Low"
0,0.4,"Medium"
1,7.96,"Low"
4,37.85,"Medium"
1,10.53,"Low"
2,35.76,"Low"
1,60.25,"Low"
1,9.64,"Medium"
1,15.02,"Low"
1,4.58,"Low"
2,30.9,"Low"
1,4.31,"Low"
1,71.95,"Low"
0,0.18,"Medium"
3,1.43,"Low"
1,7.65,"Low"
1,1.15,"Medium"
1,23.32,"Low"
1,11.88,"Low"
1,0,"Low"
0,0.12,"Low"
3,28.83,"Low"
3,50.77,"Low"
1,0,"Low"
1,7.88,"Low"
1,1.73,"Low"
2,202.05,"Low"
1,4.72,"Low"
1,940,"Low"
5,1303.55,"Medium"
2,25.57,"Low"
2,376.83,"Low"
3,350.98,"Low"
1,41.86,"Low"
0,65.64,"Low"
1,9.2,"Low"
7,391.6,"Low"
3,672.05,"Low"
5,2072.97,"Low"
0,1.67,"Low"
3,301.12,"Low"
1,14.15,"Low"
1,74.28,"Low"
1,1.6,"Low"
1,0.28,"Low"
1,14.87,"Low"
0,0.93,"Low"
1,1.15,"Low"
3,1307.2,"Low"
1,11.66,"Low"
1,79.05,"Low"
0,11.1,"Low"
0,11.08,"Low"
0,11.06,"Low"
1,12.1,"Low"
1,1.62,"Low"
4,1405.88,"Low"
1,18.4,"Low"
1,1.77,"Low"
1,387.75,"Low"
1,2.35,"High"
1,110.17,"Low"
1,0.42,"Low"
3,13.92,"Low"
1,36.58,"Low"
2,1.88,"Low"
2,146.3,"Low"
1,0.53,"Low"
2,4.36,"Low"
4,435.29,"Low"
1,7.08,"Low"
1,263.98,"Low"
1,13.3,"Low"
2,0,"Low"
1,42.87,"Low"
0,0,"Medium"
1,0,"Low"
1,0,"Low"
2,224.37,"Medium"
1,0,"Low"
1,0,"Low"
1,0,"Medium"
1,0,"Low"
3,1962.92,"Low"
1,0,"Low"
1,0,"Low"
2,283.25,"Low"
1,0,"Low"
3,75.78,"Low"
0,100.35,"Low"
2,2.17,"Low"
2,51.7,"Low"
2,162.2,"Low"
0,0.57,"Medium"
1,24.7,"Low"
2,112.13,"Low"
1,0,"Low"
1,67.92,"Low"
0,0,"Low"
4,0,"Medium"
1,0,"Low"
1,0,"Medium"
1,5.1,"Low"
0,0,"Low"
1,0,"Medium"
0,18.67,"Low"
1,3.83,"Low"
1,0,"Low"
1,0,"Low"
0,0.78,"Medium"
3,50,"Low"
1,0,"Medium"
1,10.93,"Low"
2,284.25,"Low"
1,2.02,"Low"
1,29.57,"Low"
2,14.2,"Low"
1,4,"Low"
1,23.02,"Low"
1,4,"Low"
1,1.07,"Low"
1,0.28,"Low"
2,96.18,"Low"
3,74.07,"Low"
1,167.42,"Low"
1,3.97,"Low"
1,2.92,"Low"
1,23.32,"Low"
5,1467.15,"Low"
2,7.75,"Low"
1,0.08,"Low"
1,0.05,"Low"
1,3.5,"Low"
1,95.45,"Low"
1,0,"Low"
2,50,"Low"
1,0,"Low"
1,0.63,"Low"
1,4.62,"Low"
0,1.62,"High"
0,170,"Low"
2,302.72,"Low"
1,31.69,"Medium"
2,456.47,"Low"
3,3.58,"High"
0,3.48,"Low"
0,0.12,"Low"
2,3.07,"Medium"
4,321.09,"Low"
0,8.08,"Low"
0,9,"Medium"
1,0,"Low"
0,7.53,"Medium"
1,0.92,"Low"
1,12.43,"Medium"
3,358.85,"Low"
2,9.52,"Medium"
1,1.22,"Medium"
2,31.12,"Low"
1,2.13,"Low"
2,691.88,"Low"
1,1.3,"Low"
1,4.53,"Low"
2,1.86,"High"
1,22.42,"Low"
1,17.75,"Low"
2,295.92,"Low"
1,1420.45,"Low"
2,6.32,"Medium"
1,23.22,"Low"
0,5.48,"Medium"
1,7.23,"Low"
0,0.08,"Low"
1,109.23,"Low"
1,229.78,"Low"
2,22.49,"Low"
1,252.8,"Low"
1,0.48,"Low"
1,255.4,"Low"
1,16.43,"Low"
1,11.35,"Low"
0,4.23,"Medium"
0,4.2,"Medium"
0,4.17,"Medium"
1,77.9,"Low"
2,1.47,"Low"
1,5.74,"Low"
0,0.17,"Medium"
0,549.27,"Low"
2,29.95,"Low"
1,295.7,"Low"
0,1.22,"Medium"
0,1.22,"Medium"
0,5.51,"Low"
2,60.15,"Low"
1,0.45,"Low"
0,0.67,"Low"
0,1.55,"Low"
1,2.12,"Low"
1,1.63,"Low"
1,18.05,"Low"
0,0.57,"Medium"
2,43.69,"Low"
2,2.38,"Low"
0,0.12,"Medium"
2,1555.03,"Low"
1,0.4,"Low"
3,51.02,"Low"
1,0,"Low"
1,0,"Low"
1,8.85,"Medium"
1,2.75,"Low"
1,5.02,"Low"
0,22.37,"Low"
1,11.73,"Low"
2,131.13,"Low"
1,11.78,"Low"
1,3.77,"Low"
1,0.6,"Low"
1,51.98,"Low"
0,0,"Medium"
2,132.3,"Low"
0,0.28,"Medium"
0,9.6,"Low"
2,652.61,"Low"
1,26.93,"Low"
3,6.85,"Low"
0,16.4,"Low"
0,25.83,"Low"
0,0.12,"Low"
1,0.8,"Low"
1,48.02,"Low"
1,9.37,"Low"
1,46.49,"Low"
1,2.22,"Low"
4,1411.23,"Low"
1,1.7,"Low"
1,104.34,"Low"
2,10,"Low"
2,10.53,"Low"
2,3.87,"Low"
7,2741.98,"Low"
0,0.5,"Low"
1,6.58,"Low"
2,1.52,"Low"
2,24.88,"Low"
4,59.11,"Low"
1,251.35,"Low"
1,251.49,"Low"
1,251.36,"Low"
4,25.68,"High"
1,0.4,"Low"
1,17.51,"Low"
1,41.27,"Medium"
1,0.03,"High"
1,7.73,"Low"
1,0.08,"Low"
1,16.02,"Low"
1,2.12,"Low"
1,2.91,"High"
1,14.47,"Low"
4,60.11,"Low"
1,8.61,"Low"
1,2.93,"Low"
1,9.09,"Low"
1,15.87,"Low"
1,0.48,"Low"
1,4.83,"Low"
1,0.4,"Low"
2,32.45,"Low"
1,1.65,"Low"
1,88.15,"Medium"
1,55.22,"Low"
0,9.12,"Low"
1,27.78,"Low"
1,372.87,"Low"
1,2.17,"Low"
1,8.25,"Low"
0,231.92,"Low"
3,18.76,"Low"
2,102.51,"Low"
3,95.45,"Low"
1,509.53,"Low"
1,1.78,"Low"
1,1.95,"Low"
1,1.9,"Low"
1,1132.18,"Low"
1,93.07,"Low"
0,1.78,"Low"
0,2.08,"Low"
1,84.75,"Low"
1,547.77,"Low"
2,3.25,"Low"
1,533.8,"Low"
3,971.73,"Low"
1,13.02,"Low"
4,1143.52,"Low"
1,167.12,"Low"
2,523.97,"Low"
1,36.38,"Low"
1,256.68,"Low"
1,17.33,"Low"
1,7.97,"Low"
3,1400.95,"Low"
2,1523.62,"Low"
1,3.5,"Low"
0,2.25,"Low"
1,0.67,"Low"
0,0.68,"Low"
1,283.81,"Medium"
1,283.82,"Medium"
1,283.65,"Medium"
1,0.63,"Low"
0,14.65,"Medium"
2,1.8,"Low"
0,1.18,"Low"
0,1.12,"Low"
2,14.63,"Medium"
0,2.1,"Low"
2,665.73,"Low"
2,452.03,"Low"
0,13.58,"Low"
0,0.35,"Medium"
1,7.42,"Low"
1,0.47,"Low"
2,5.97,"High"
1,641.5,"Low"
1,5.77,"Medium"
1,11.51,"Low"
1,1.27,"Low"
3,215.38,"High"
3,379.89,"Low"
3,690.33,"Low"
1,9.92,"Low"
0,0.63,"High"
1,613.81,"Low"
1,19.95,"Low"
2,19.62,"Low"
2,7,"Low"
3,126.9,"Low"
1,1.13,"Low"
0,29.34,"Low"
2,19.48,"Low"
0,1.95,"Medium"
1,11.14,"Low"
1,0.65,"Low"
2,15,"Low"
2,692.85,"Low"
0,0.27,"Low"
1,1.13,"Low"
2,0.33,"Low"
1,92.34,"Low"
4,703,"Low"
0,6.17,"Low"
1,11.61,"Medium"
1,0.13,"Low"
0,0.47,"Medium"
2,7.15,"Low"
1,18.07,"Low"
3,272.35,"Low"
1,2.6,"Low"
2,3.6,"Low"
2,266.3,"Low"
1,1.67,"Low"
1,0.55,"Low"
1,19.08,"Low"
2,283.02,"Low"
1,49.02,"Low"
1,0.22,"Low"
1,3.6,"Low"
1,110,"Low"
1,15.22,"Low"
1,6.05,"Low"
3,374.87,"Low"
1,113.52,"Low"
1,201.77,"Low"
1,4.93,"Low"
1,4.37,"Low"
2,1352.77,"Low"
1,7.58,"Low"
1,362.07,"Low"
1,195.5,"Low"
1,2.32,"Low"
8,413.2,"Low"
0,10.62,"Low"
0,0.6,"Medium"
0,8.92,"Low"
1,0,"Medium"
1,0,"Low"
1,43.17,"Low"
0,0.18,"Medium"
2,78.73,"Low"
1,73,"Low"
1,4.32,"Low"
0,70.45,"Low"
1,8.07,"Low"
1,3.3,"Medium"
1,4.63,"Low"
2,81.35,"Medium"
2,0.38,"Low"
1,0.38,"Low"
0,0.03,"Low"
1,39.92,"Low"
1,5.8,"Medium"
1,83.68,"Medium"
3,422.47,"Low"
0,79.74,"Medium"
2,49.28,"Low"
1,6,"Low"
1,4.25,"Low"
0,0.28,"Medium"
1,10.2,"Low"
1,1.48,"Low"
1,1.02,"Low"
2,363.52,"Low"
1,6.77,"Low"
1,9.53,"Low"
1,179.76,"Low"
1,11.05,"Low"
1,2.27,"Low"
1,137.32,"Low"
1,1.68,"Medium"
1,9.45,"Medium"
2,494.72,"Low"
1,1.2,"Medium"
1,118.23,"Low"
1,3.58,"Low"
1,231.56,"Low"
1,0.7,"Low"
2,265.13,"Low"
1,1.03,"Low"
2,0.78,"Low"
1,17.57,"Low"
1,139.17,"Low"
3,450.17,"Low"
1,2.68,"Low"
2,257.27,"Low"
1,1.03,"Low"
3,216.53,"Low"
2,344.8,"Low"
1,9.85,"Low"
1,0.13,"Low"
1,34.64,"Medium"
1,16.32,"Low"
0,0.4,"Low"
3,966.9,"Low"
3,256.78,"Low"
4,185.23,"Low"
2,5.55,"Low"
1,0.9,"Low"
2,3.8,"Low"
1,5.2,"Low"
1,5,"Low"
1,0.02,"Low"
2,81.16,"Medium"
1,1443.64,"Low"
0,0.07,"Low"
0,0.42,"Low"
5,41.17,"Low"
1,1.3,"Low"
0,70.47,"Low"
1,188.02,"Low"
1,11.08,"Low"
1,0.96,"Low"
1,1.72,"Low"
1,77.75,"Low"
1,2.5,"Low"
0,6.58,"Low"
1,157.25,"Low"
1,0,"Low"
2,647.3,"Low"
1,0,"Low"
2,253.97,"Low"
1,409.72,"Low"
1,15.28,"Low"
1,35.1,"Low"
1,409.77,"Low"
2,15.33,"Low"
2,44.47,"Low"
1,20.43,"Low"
1,1.78,"Low"
1,7.52,"Low"
2,68.73,"Low"
1,1.12,"Low"
2,253.8,"Low"
1,752.28,"Low"
1,8.5,"Low"
3,525.74,"Low"
1,3.32,"Low"
2,42.45,"Low"
3,0.95,"Low"
2,0.02,"Low"
0,7.08,"Medium"
1,5.58,"Low"
1,3.02,"High"
0,1.12,"Medium"
2,10.72,"Low"
3,1542.78,"Low"
1,6.13,"Low"
1,8.57,"Low"
1,5.97,"Low"
2,164.12,"Low"
1,48.32,"Low"
1,0.25,"Low"
1,12.67,"Medium"
0,6.35,"Medium"
1,4.48,"Medium"
2,0.13,"Low"
1,1.05,"Low"
2,200.1,"Low"
3,33.07,"Low"
1,0.08,"Low"
3,29.18,"Low"
0,0.93,"Medium"
2,15.14,"Low"
0,0.17,"Medium"
1,27.6,"Low"
3,1819.75,"Low"
3,2534.07,"Low"
1,0,"Low"
0,1.97,"Low"
1,1.33,"Low"
0,0,"Medium"
2,69.07,"Low"
1,212.68,"Low"
1,1.48,"Low"
1,23.08,"Medium"
1,0,"Low"
1,402.05,"Low"
1,71.47,"Low"
1,81.73,"Low"
2,316.02,"Low"
1,3.45,"Low"
1,52.93,"Low"
1,0,"Low"
1,207,"Low"
1,0,"Low"
1,0,"Low"
0,0,"Medium"
1,1.97,"Low"
1,1796.58,"Low"
2,0,"Low"
1,3.75,"Low"
0,2.7,"Low"
2,0,"Low"
0,1.98,"Low"
1,1.85,"Low"
0,2.67,"Low"
1,0,"Low"
5,1529.02,"Low"
5,1529.05,"Low"
1,47.25,"High"
1,1.98,"Low"
1,45.37,"Low"
0,0.28,"High"
1,0,"Low"
1,2.07,"Low"
1,0.98,"Low"
1,0,"Low"
0,0,"Low"
0,4.8,"Low"
0,0,"Medium"
1,420,"Low"
0,0,"Medium"
1,26.98,"Low"
0,0.32,"Low"
1,0.2,"Medium"
5,17.23,"Low"
1,1.83,"Low"
1,0,"Low"
3,1553.87,"Low"
4,145.68,"Low"
2,45.5,"Low"
1,60.57,"Low"
1,128.75,"Low"
1,153.63,"Low"
2,30,"Low"
1,4.45,"Low"
1,3.5,"Low"
2,318.47,"Low"
3,23.78,"Low"
1,17.27,"Low"
3,213.87,"Low"
1,0.43,"Low"
1,0.97,"Low"
0,5.98,"Low"
2,390,"Low"
2,348.45,"Low"
5,1257.88,"Medium"
1,13.2,"Low"
0,4.48,"Low"
4,541.22,"Low"
4,24.52,"Low"
1,1.47,"Low"
0,52.03,"Low"
4,20.02,"Medium"
2,20,"Low"
1,25.94,"High"
1,99.12,"Medium"
0,10.2,"Low"
4,7.5,"Low"
0,2.32,"Low"
1,9.97,"Medium"
1,9.71,"Low"
1,2.17,"Low"
1,416.15,"Medium"
2,71.85,"Low"
1,18.88,"Low"
3,65.59,"Medium"
0,0.2,"Medium"
0,0.2,"Medium"
0,0.78,"Low"
3,953.98,"Low"
2,42.81,"Low"
1,533.17,"Low"
2,836.07,"Low"
2,16.63,"Low"
2,692.83,"Low"
1,36.56,"Low"
1,16.07,"Medium"
1,2.62,"Low"
4,347.72,"Low"
1,46.58,"Low"
4,244.72,"Low"
2,154.68,"Low"
0,0.45,"Low"
1,0.73,"Low"
2,12.5,"Low"
1,1.67,"Low"
1,0.55,"Low"
1,2.7,"Low"
1,12.7,"Low"
1,34.54,"Medium"
1,4.39,"Medium"
2,11.41,"Low"
1,1.85,"Low"
2,17.26,"Low"
1,11.18,"Low"
2,4.73,"Low"
4,346.88,"Low"
1,1.53,"Low"
1,17.31,"Low"
2,198.9,"Low"
1,0.1,"Low"
2,4.5,"Low"
1,3.07,"Low"
0,0.6,"Medium"
1,10.8,"Low"
1,203.67,"Low"
4,2663.25,"Low"
4,7.37,"Low"
1,0,"Low"
2,43.23,"Low"
1,7.93,"Medium"
0,0.17,"Low"
1,0,"Low"
0,0,"Low"
1,2.25,"Low"
1,0,"Low"
0,0,"Low"
1,0,"Low"
0,1.1,"Low"
0,1.03,"Low"
1,0.47,"Low"
1,12.92,"Low"
0,2.17,"Medium"
1,13.9,"Low"
1,29.9,"Medium"
0,0.7,"Medium"
1,2,"Low"
0,7.37,"Low"
3,13.01,"Low"
1,27.46,"Low"
1,12.71,"Low"
2,225.63,"Low"
2,168.8,"Low"
1,602.15,"Low"
2,148.13,"Low"
4,8.98,"Low"
1,1.58,"Low"
0,6.88,"Medium"
1,0.15,"Low"
1,5.28,"Low"
1,17.81,"Low"
1,1049.92,"Low"
2,248.02,"Low"
1,21.63,"High"
0,0.53,"Low"
1,3.03,"Low"
1,7.35,"Low"
0,0.25,"Medium"
1,7.38,"Low"
0,1.15,"Low"
0,0.32,"Low"
1,7.07,"Low"
2,64.28,"Low"
0,0.05,"Medium"
1,7.61,"Low"
0,12.14,"Low"
1,2.2,"Low"
1,55.8,"Low"
1,22.94,"Low"
1,5.47,"Low"
1,1.38,"Low"
1,14.72,"Low"
1,3.26,"Low"
1,192.85,"Low"
1,0.25,"Low"
1,0.22,"Low"
1,380.33,"Low"
1,2.54,"High"
0,0,"Low"
0,0,"Medium"
0,8.67,"Low"
1,3.83,"Low"
1,0,"Low"
0,0.85,"Medium"
1,0,"Medium"
1,0,"Low"
2,31.8,"Low"
2,31.78,"Low"
2,6.95,"Low"
1,356.57,"Low"
1,11.2,"Low"
0,0.88,"Low"
2,5.08,"Medium"
0,6.18,"Low"
1,9.87,"Low"
1,1.7,"Low"
2,20.48,"Low"
1,18.18,"Low"
1,10.25,"Low"
0,97.68,"Low"
2,84.55,"Low"
1,290.42,"Low"
1,9.65,"Low"
3,53.91,"Low"
3,239.77,"Low"
1,7,"Low"
1,0.88,"Low"
0,4.2,"Low"
3,136.92,"Low"
4,381.68,"Low"
2,0.68,"Low"
0,0.1,"Low"
1,7.73,"Low"
1,9.66,"Medium"
1,378.45,"Low"
1,12.7,"Medium"
0,811.96,"Low"
1,0.22,"Low"
0,156.39,"Low"
1,0.53,"Low"
1,272.41,"Low"
1,20.23,"Low"
2,75.25,"Low"
2,425.17,"Medium"
2,1509.97,"Low"
2,21.17,"Low"
1,187.27,"Low"
1,0.82,"Low"
1,40.52,"Low"
1,451.65,"Low"
1,666.25,"Low"
3,91.2,"Low"
1,473.78,"Low"
1,118.17,"Low"
4,481.05,"Medium"
2,321.87,"Low"
1,0.03,"Low"
0,3.1,"Medium"
0,2.97,"Medium"
1,3.63,"Medium"
1,6.19,"Medium"
0,2.68,"Medium"
1,43.18,"Medium"
1,2.33,"Low"
2,2.68,"Low"
0,20.12,"Medium"
0,0.52,"Medium"
1,1.03,"Medium"
1,32.28,"Low"
2,253.73,"Medium"
2,0.02,"Low"
3,9,"Low"
0,3.43,"Low"
0,0,"Medium"
1,83.33,"Low"
0,0.63,"Low"
0,0.25,"Low"
1,32.33,"Medium"
1,46.88,"Medium"
3,318.9,"Low"
1,0,"Low"
1,2.48,"Low"
1,1.17,"Low"
1,0,"Low"
0,14.5,"Low"
1,7.97,"Low"
0,0.25,"Low"
3,23.08,"Low"
1,0.57,"High"
1,9.81,"Medium"
1,0.32,"Low"
1,3.27,"Low"
1,582,"Low"
1,30.36,"High"
2,880.09,"Medium"
1,1.48,"Medium"
1,8.82,"Medium"
2,69,"Low"
1,147,"Low"
2,111.94,"Low"
1,7.92,"Low"
1,1070.87,"Low"
1,8.55,"Low"
1,0.32,"Low"
2,88.52,"Low"
0,1.85,"Low"
1,1.77,"Low"
2,1.17,"Low"
1,5.3,"Low"
2,11.22,"Low"
1,17.58,"Low"
1,36.11,"Low"
1,0.13,"Low"
1,2,"Low"
1,1.83,"Low"
1,92.25,"Low"
1,16.37,"Low"
1,30.2,"Low"
4,289.67,"Low"
1,383.85,"Low"
0,0.72,"Low"
2,456.26,"Low"
1,0.18,"Low"
0,0.53,"Low"
0,82.37,"Low"
1,13.4,"Low"
1,0.42,"Low"
0,1.87,"Medium"
2,1.43,"Low"
1,11.9,"Low"
1,1.86,"Low"
0,1.74,"Low"
3,1403.18,"Low"
1,5.22,"Low"
0,3.07,"Low"
0,3.03,"Low"
0,0.33,"Low"
6,147.87,"Medium"
1,1.88,"Low"
1,0,"Low"
1,0,"Low"
1,4.63,"Low"
2,53.57,"Low"
1,1.05,"Medium"
2,166.1,"Low"
1,26.35,"Low"
1,427.65,"Low"
2,122.28,"Low"
1,70.25,"Low"
1,8,"Low"
1,0,"Low"
1,0.77,"Low"
2,43.7,"Low"
4,163.25,"Low"
0,0.75,"Low"
2,346.08,"Low"
2,67.1,"Low"
0,1.95,"Low"
1,11.82,"Medium"
1,7.03,"Low"
1,83.22,"Low"
2,2.52,"Low"
2,932.75,"Low"
2,1215.72,"Low"
1,475.42,"Low"
0,1.02,"Low"
1,475.33,"Low"
2,4.28,"Low"
2,0.37,"Low"
1,40.04,"Low"
1,281.11,"Medium"
0,23.2,"Low"
2,3.27,"Low"
1,8.43,"Low"
5,480.14,"Low"
1,9.6,"Low"
1,1.83,"Low"
1,1.23,"Low"
1,48.88,"Low"
2,950.84,"Medium"
2,10.68,"Low"
3,119.58,"Low"
2,850.99,"Low"
1,15.13,"Low"
1,19.95,"Low"
1,3.18,"Low"
